		InferType: 63,848us [63,848us] (0.10%; 1.12%)
		InferType: 55,127us [55,127us] (0.08%; 0.97%)
		InferType: 61,996us [61,996us] (0.09%; 1.09%)
		InferType: 56,321us [56,321us] (0.08%; 0.99%)
		InferType: 68,754us [68,754us] (0.10%; 1.21%)
		InferType: 56,814us [56,814us] (0.08%; 1.00%)
		InferType: 71,466us [71,466us] (0.11%; 1.26%)
		InferType: 56,167us [56,167us] (0.08%; 0.99%)
		InferType: 68,510us [68,510us] (0.10%; 1.21%)
		InferType: 53,056us [53,056us] (0.08%; 0.93%)
		InferType: 54,685us [54,685us] (0.08%; 0.96%)
		InferType: 47,147us [47,147us] (0.07%; 0.83%)
		InferType: 55,811us [55,811us] (0.08%; 0.98%)
		InferType: 55,810us [55,810us] (0.08%; 0.98%)
		InferType: 56,353us [56,353us] (0.08%; 0.99%)
		InferType: 58,249us [58,249us] (0.09%; 1.03%)
		InferType: 62,234us [62,234us] (0.09%; 1.10%)
		InferType: 62,372us [62,372us] (0.09%; 1.10%)
		InferType: 64,138us [64,138us] (0.10%; 1.13%)
		InferType: 68,611us [68,611us] (0.10%; 1.21%)
		InferType: 70,862us [70,862us] (0.11%; 1.25%)
		InferType: 62,176us [62,176us] (0.09%; 1.10%)
		InferType: 72,152us [72,152us] (0.11%; 1.27%)
		InferType: 62,463us [62,463us] (0.09%; 1.10%)
		InferType: 71,017us [71,017us] (0.11%; 1.25%)
		InferType: 51,843us [51,843us] (0.08%; 0.91%)
		InferType: 65,358us [65,358us] (0.10%; 1.15%)
		InferType: 56,868us [56,868us] (0.08%; 1.00%)
		InferType: 77,632us [77,632us] (0.12%; 1.37%)
		InferType: 62,589us [62,589us] (0.09%; 1.10%)
		InferType: 76,308us [76,308us] (0.11%; 1.34%)
		InferType: 64,476us [64,476us] (0.10%; 1.14%)
		InferType: 58,309us [58,309us] (0.09%; 1.03%)
		InferType: 39,450us [39,450us] (0.06%; 0.69%)
		InferType: 61,719us [61,719us] (0.09%; 1.09%)
		InferType: 62,441us [62,441us] (0.09%; 1.10%)
		InferType: 69,856us [69,856us] (0.10%; 1.23%)
		InferType: 66,436us [66,436us] (0.10%; 1.17%)
		InferType: 62,614us [62,614us] (0.09%; 1.10%)
		InferType: 65,691us [65,691us] (0.10%; 1.16%)
		InferType: 74,510us [74,510us] (0.11%; 1.31%)
		InferType: 72,884us [72,884us] (0.11%; 1.28%)
		InferType: 73,938us [73,938us] (0.11%; 1.30%)
		InferType: 78,882us [78,882us] (0.12%; 1.39%)
		InferType: 82,631us [82,631us] (0.12%; 1.46%)
		InferType: 75,293us [75,293us] (0.11%; 1.33%)
		InferType: 78,943us [78,943us] (0.12%; 1.39%)
		InferType: 60,469us [60,469us] (0.09%; 1.07%)
		InferType: 87,145us [87,145us] (0.13%; 1.53%)
		InferType: 77,172us [77,172us] (0.12%; 1.36%)
		InferType: 80,140us [80,140us] (0.12%; 1.41%)
		InferType: 76,500us [76,500us] (0.11%; 1.35%)
		InferType: 88,632us [88,632us] (0.13%; 1.56%)
		InferType: 55,218us [55,218us] (0.08%; 0.97%)
		InferType: 91,605us [91,605us] (0.14%; 1.61%)
		InferType: 77,794us [77,794us] (0.12%; 1.37%)
		InferType: 132,016us [132,016us] (0.20%; 2.33%)
	InferType: 134,573us [134,573us] (0.20%; 0.20%)
	SpaceToDepthPass: 237,904us [106,178us] (0.36%; 0.36%)
		InferType: 131,727us [131,727us] (0.20%; 55.37%)
	InferType: 131,281us [131,281us] (0.20%; 0.20%)
	SplitToSlicePass: 230,365us [100,175us] (0.34%; 0.34%)
		InferType: 130,190us [130,190us] (0.19%; 56.51%)
	InferType: 132,575us [132,575us] (0.20%; 0.20%)
	FillShapePass: 249,653us [96,752us] (0.37%; 0.37%)
		InferType: 152,901us [152,901us] (0.23%; 61.25%)
	InferType: 133,418us [133,418us] (0.20%; 0.20%)
	TilingPass: 139,557us [8,028us] (0.21%; 0.21%)
		InferType: 131,529us [131,529us] (0.20%; 94.25%)
	RTRToConv: 162,560us [31,341us] (0.24%; 0.24%)
		InferType: 131,219us [131,219us] (0.20%; 80.72%)
	InferType: 132,804us [132,804us] (0.20%; 0.20%)
	ParamsReplaceOptPass: 426,504us [295,925us] (0.64%; 0.64%)
		InferType: 130,579us [130,579us] (0.20%; 30.62%)
	InferType: 132,094us [132,094us] (0.20%; 0.20%)
	RenameCallOpnameBySpan: 265,036us [134,457us] (0.40%; 0.40%)
		InferType: 130,579us [130,579us] (0.20%; 49.27%)
	InferType: 132,494us [132,494us] (0.20%; 0.20%)
	RenameConstantOpnameBySpan: 232,342us [95,949us] (0.35%; 0.35%)
		InferType: 136,393us [136,393us] (0.20%; 58.70%)
	InferType: 132,748us [132,748us] (0.20%; 0.20%)
	PpqAdaptPass: 224,785us [94,957us] (0.34%; 0.34%)
		InferType: 129,828us [129,828us] (0.19%; 57.76%)
	InferType: 163,894us [163,894us] (0.24%; 0.24%)
	ExtendBNInputShape: 223,818us [90,987us] (0.33%; 0.33%)
		InferType: 132,831us [132,831us] (0.20%; 59.35%)
	MergeComposite: 3,283,181us [247,356us] (4.90%; 4.90%)
		InferType: 132,613us [132,613us] (0.20%; 4.04%)
		InferType: 134,400us [134,400us] (0.20%; 4.09%)
		InferType: 134,581us [134,581us] (0.20%; 4.10%)
		InferType: 134,359us [134,359us] (0.20%; 4.09%)
		InferType: 145,558us [145,558us] (0.22%; 4.43%)
		InferType: 147,864us [147,864us] (0.22%; 4.50%)
		InferType: 146,434us [146,434us] (0.22%; 4.46%)
		InferType: 146,564us [146,564us] (0.22%; 4.46%)
		InferType: 146,754us [146,754us] (0.22%; 4.47%)
		InferType: 147,236us [147,236us] (0.22%; 4.48%)
		InferType: 148,020us [148,020us] (0.22%; 4.51%)
		InferType: 147,410us [147,410us] (0.22%; 4.49%)
		InferType: 142,534us [142,534us] (0.21%; 4.34%)
		InferType: 147,112us [147,112us] (0.22%; 4.48%)
		InferType: 147,789us [147,789us] (0.22%; 4.50%)
		InferType: 147,570us [147,570us] (0.22%; 4.49%)
		InferType: 148,562us [148,562us] (0.22%; 4.52%)
		InferType: 147,578us [147,578us] (0.22%; 4.49%)
		InferType: 146,271us [146,271us] (0.22%; 4.46%)
		InferType: 147,600us [147,600us] (0.22%; 4.50%)
		InferType: 149,015us [149,015us] (0.22%; 4.54%)
	AnnotateTarget: 525,395us [59us] (0.78%; 0.78%)
		InferType: 147,325us [147,325us] (0.22%; 28.04%)
		AnnotateTargetFunc: 203,080us [28,300us] (0.30%; 38.65%)
			InferType: 174,781us [174,781us] (0.26%; 86.06%)
		InferType: 174,931us [174,931us] (0.26%; 33.30%)
	sequential: 328,151us [71us] (0.49%; 0.49%)
		MergeCompilerRegions: 199,569us [62,299us] (0.30%; 60.82%)
			InferType: 137,270us [137,270us] (0.21%; 68.78%)
		InferType: 128,510us [128,510us] (0.19%; 39.16%)
	RemoveTuplePass: 374,293us [236,113us] (0.56%; 0.56%)
		InferType: 138,180us [138,180us] (0.21%; 36.92%)
	InferType: 148,870us [148,870us] (0.22%; 0.22%)
	SplitBranchPass: 723,182us [563,846us] (1.08%; 1.08%)
		InferType: 159,336us [159,336us] (0.24%; 22.03%)
	InferType: 164,560us [164,560us] (0.25%; 0.25%)
	SplitGraphByMemoryPass: 4,510,886us [3,731,535us] (6.74%; 6.74%)
		InferType: 158,862us [158,862us] (0.24%; 3.52%)
		InferType: 153,356us [153,356us] (0.23%; 3.40%)
		InferType: 210,310us [210,310us] (0.31%; 4.66%)
		InferType: 256,823us [256,823us] (0.38%; 5.69%)
	sequential: 38,598,193us [73us] (57.65%; 57.65%)
		FlattenNestedTuples: 533,853us [40,012us] (0.80%; 1.38%)
			InferType: 493,841us [493,841us] (0.74%; 92.51%)
		RemoveDefaultAnnotations: 459,127us [40,487us] (0.69%; 1.19%)
			InferType: 418,640us [418,640us] (0.63%; 91.18%)
		PartitionGraph: 37,422,848us [264,781us] (55.89%; 96.95%)
			InferType: 388,586us [388,586us] (0.58%; 1.04%)
			InferType: 215,698us [215,698us] (0.32%; 0.58%)
			InferType: 232,429us [232,429us] (0.35%; 0.62%)
			InferType: 164,606us [164,606us] (0.25%; 0.44%)
			InferType: 206,295us [206,295us] (0.31%; 0.55%)
			InferType: 285,009us [285,009us] (0.43%; 0.76%)
			InferType: 404,037us [404,037us] (0.60%; 1.08%)
			InferType: 362,385us [362,385us] (0.54%; 0.97%)
			InferType: 409,932us [409,932us] (0.61%; 1.10%)
			InferType: 298,298us [298,298us] (0.45%; 0.80%)
			InferType: 273,708us [273,708us] (0.41%; 0.73%)
			InferType: 202,036us [202,036us] (0.30%; 0.54%)
			InferType: 168,836us [168,836us] (0.25%; 0.45%)
			InferType: 184,863us [184,863us] (0.28%; 0.49%)
			InferType: 181,533us [181,533us] (0.27%; 0.49%)
			InferType: 181,709us [181,709us] (0.27%; 0.49%)
			InferType: 181,188us [181,188us] (0.27%; 0.48%)
			InferType: 172,705us [172,705us] (0.26%; 0.46%)
			InferType: 185,412us [185,412us] (0.28%; 0.50%)
			InferType: 175,172us [175,172us] (0.26%; 0.47%)
			InferType: 174,948us [174,948us] (0.26%; 0.47%)
			InferType: 190,453us [190,453us] (0.28%; 0.51%)
			InferType: 190,027us [190,027us] (0.28%; 0.51%)
			InferType: 197,222us [197,222us] (0.29%; 0.53%)
			InferType: 193,414us [193,414us] (0.29%; 0.52%)
			InferType: 195,362us [195,362us] (0.29%; 0.52%)
			InferType: 202,611us [202,611us] (0.30%; 0.54%)
			InferType: 197,800us [197,800us] (0.30%; 0.53%)
			InferType: 192,176us [192,176us] (0.29%; 0.51%)
			InferType: 187,604us [187,604us] (0.28%; 0.50%)
			InferType: 191,325us [191,325us] (0.29%; 0.51%)
			InferType: 194,664us [194,664us] (0.29%; 0.52%)
			InferType: 199,305us [199,305us] (0.30%; 0.53%)
			InferType: 194,942us [194,942us] (0.29%; 0.52%)
			InferType: 144,984us [144,984us] (0.22%; 0.39%)
			InferType: 165,427us [165,427us] (0.25%; 0.44%)
			InferType: 120,546us [120,546us] (0.18%; 0.32%)
			InferType: 159,767us [159,767us] (0.24%; 0.43%)
			InferType: 258,142us [258,142us] (0.39%; 0.69%)
			InferType: 441,928us [441,928us] (0.66%; 1.18%)
			InferType: 289,112us [289,112us] (0.43%; 0.77%)
			InferType: 216,341us [216,341us] (0.32%; 0.58%)
			InferType: 210,296us [210,296us] (0.31%; 0.56%)
			InferType: 229,707us [229,707us] (0.34%; 0.61%)
			InferType: 167,043us [167,043us] (0.25%; 0.45%)
			InferType: 189,393us [189,393us] (0.28%; 0.51%)
