		InferType: 22,147us [22,147us] (0.03%; 0.95%)
		InferType: 22,082us [22,082us] (0.03%; 0.95%)
		InferType: 22,136us [22,136us] (0.03%; 0.95%)
		InferType: 22,200us [22,200us] (0.03%; 0.96%)
		InferType: 22,287us [22,287us] (0.03%; 0.96%)
		InferType: 22,296us [22,296us] (0.03%; 0.96%)
		InferType: 24,692us [24,692us] (0.03%; 1.06%)
		InferType: 24,905us [24,905us] (0.03%; 1.07%)
		InferType: 24,937us [24,937us] (0.03%; 1.08%)
		InferType: 24,829us [24,829us] (0.03%; 1.07%)
		InferType: 23,769us [23,769us] (0.03%; 1.02%)
		InferType: 32,913us [32,913us] (0.05%; 1.42%)
		InferType: 40,551us [40,551us] (0.06%; 1.75%)
		InferType: 19,362us [19,362us] (0.03%; 0.83%)
		InferType: 29,927us [29,927us] (0.04%; 1.29%)
		InferType: 30,240us [30,240us] (0.04%; 1.30%)
		InferType: 29,633us [29,633us] (0.04%; 1.28%)
		InferType: 31,058us [31,058us] (0.04%; 1.34%)
		InferType: 32,153us [32,153us] (0.04%; 1.39%)
		InferType: 7,743us [7,743us] (0.01%; 0.33%)
		InferType: 32,550us [32,550us] (0.05%; 1.40%)
		InferType: 32,644us [32,644us] (0.05%; 1.41%)
		InferType: 32,506us [32,506us] (0.04%; 1.40%)
		InferType: 33,845us [33,845us] (0.05%; 1.46%)
		InferType: 36,683us [36,683us] (0.05%; 1.58%)
		InferType: 37,929us [37,929us] (0.05%; 1.64%)
		InferType: 35,262us [35,262us] (0.05%; 1.52%)
		InferType: 32,085us [32,085us] (0.04%; 1.38%)
		InferType: 36,078us [36,078us] (0.05%; 1.56%)
		InferType: 35,980us [35,980us] (0.05%; 1.55%)
		InferType: 35,993us [35,993us] (0.05%; 1.55%)
		InferType: 37,195us [37,195us] (0.05%; 1.60%)
		InferType: 39,881us [39,881us] (0.06%; 1.72%)
		InferType: 41,186us [41,186us] (0.06%; 1.78%)
		InferType: 39,714us [39,714us] (0.05%; 1.71%)
		InferType: 43,365us [43,365us] (0.06%; 1.87%)
		InferType: 38,746us [38,746us] (0.05%; 1.67%)
		InferType: 28,517us [28,517us] (0.04%; 1.23%)
		InferType: 39,273us [39,273us] (0.05%; 1.69%)
		InferType: 39,310us [39,310us] (0.05%; 1.69%)
		InferType: 42,739us [42,739us] (0.06%; 1.84%)
		InferType: 39,946us [39,946us] (0.06%; 1.72%)
		InferType: 39,346us [39,346us] (0.05%; 1.70%)
		InferType: 44,370us [44,370us] (0.06%; 1.91%)
		InferType: 46,967us [46,967us] (0.07%; 2.03%)
		InferType: 48,084us [48,084us] (0.07%; 2.07%)
		InferType: 48,673us [48,673us] (0.07%; 2.10%)
		InferType: 50,182us [50,182us] (0.07%; 2.16%)
		InferType: 61,595us [61,595us] (0.09%; 2.66%)
		InferType: 61,644us [61,644us] (0.09%; 2.66%)
		InferType: 61,540us [61,540us] (0.09%; 2.65%)
		InferType: 60,777us [60,777us] (0.08%; 2.62%)
		InferType: 61,788us [61,788us] (0.09%; 2.66%)
	InferType: 62,042us [62,042us] (0.09%; 0.09%)
	SpaceToDepthPass: 127,486us [65,786us] (0.18%; 0.18%)
		InferType: 61,700us [61,700us] (0.09%; 48.40%)
	InferType: 61,996us [61,996us] (0.09%; 0.09%)
	SplitToSlicePass: 137,566us [71,454us] (0.19%; 0.19%)
		InferType: 66,112us [66,112us] (0.09%; 48.06%)
	InferType: 62,768us [62,768us] (0.09%; 0.09%)
	FillShapePass: 129,752us [67,849us] (0.18%; 0.18%)
		InferType: 61,903us [61,903us] (0.09%; 47.71%)
	InferType: 62,439us [62,439us] (0.09%; 0.09%)
	TilingPass: 66,887us [4,850us] (0.09%; 0.09%)
		InferType: 62,037us [62,037us] (0.09%; 92.75%)
	RTRToConv: 99,206us [36,913us] (0.14%; 0.14%)
		InferType: 62,292us [62,292us] (0.09%; 62.79%)
	InferType: 62,245us [62,245us] (0.09%; 0.09%)
	ParamsReplaceOptPass: 193,099us [130,734us] (0.27%; 0.27%)
		InferType: 62,365us [62,365us] (0.09%; 32.30%)
	InferType: 62,283us [62,283us] (0.09%; 0.09%)
	RenameCallOpnameBySpan: 154,944us [93,190us] (0.21%; 0.21%)
		InferType: 61,754us [61,754us] (0.09%; 39.86%)
	InferType: 62,363us [62,363us] (0.09%; 0.09%)
	RenameConstantOpnameBySpan: 129,519us [66,508us] (0.18%; 0.18%)
		InferType: 63,011us [63,011us] (0.09%; 48.65%)
	InferType: 62,480us [62,480us] (0.09%; 0.09%)
	PpqAdaptPass: 125,743us [63,575us] (0.17%; 0.17%)
		InferType: 62,169us [62,169us] (0.09%; 49.44%)
	InferType: 62,469us [62,469us] (0.09%; 0.09%)
	ExtendBNInputShape: 114,220us [52,286us] (0.16%; 0.16%)
		InferType: 61,934us [61,934us] (0.09%; 54.22%)
	MergeComposite: 1,535,960us [141,022us] (2.13%; 2.13%)
		InferType: 61,999us [61,999us] (0.09%; 4.04%)
		InferType: 62,324us [62,324us] (0.09%; 4.06%)
		InferType: 62,389us [62,389us] (0.09%; 4.06%)
		InferType: 62,183us [62,183us] (0.09%; 4.05%)
		InferType: 66,333us [66,333us] (0.09%; 4.32%)
		InferType: 67,053us [67,053us] (0.09%; 4.37%)
		InferType: 68,500us [68,500us] (0.09%; 4.46%)
		InferType: 67,203us [67,203us] (0.09%; 4.38%)
